Date,ABEV3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRDT3,BRFS3,BRKM5,BRML3,BTOW3,CCRO3,CIEL3,CMIG4,COGN3,CPFE3,CPLE6,CRFB3,CSAN3,CSNA3,CVCB3,CYRE3,ECOR3,EGIE3,ELET3,ELET6,EMBR3,ENBR3,ENEV3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GNDI3,GOAU4,GOLL4,HAPV3,HGTX3,HYPE3,IGTA3,IRBR3,ITSA4,ITUB4,JBSS3,JHSF3,KLBN11,LAME4,LCAM3,LREN3,MGLU3,MRFG3,MRVE3,MULT3,PETR3,PETR4,PRIO3,QUAL3,RADL3,RAIL3,RENT3,SANB11,SBSP3,SULA11,SUZB3,TAEE11,TOTS3,UGPA3,USIM5,VALE3,VIVT3,VVAR3,WEGE3,YDUQ3,NATU3
2010-01-04,4.44,,8.85,16.33,8.65,10.35,,5.5,,28.33,,21.02,12.0,9.76,41.17,8.13,4.79,5.65,1.96,13.3,2.0,,16.82,19.64,,20.7,,10.28,20.69,19.56,8.92,7.32,6.14,,1.51,6.74,15.63,25.15,,30.95,25.24,,6.58,20.16,15.06,,4.08,11.11,9.35,2.88,,7.65,,5.84,,19.21,11.19,9.04,35.99,29.41,,,1.71,5.77,4.98,12.87,9.76,8.74,,4.14,6.51,,24.41,39.53,16.76,3.56,4.35,7.45,13.68
2010-01-05,4.47,,8.89,16.17,8.53,10.3,,5.72,,28.9,,21.24,11.89,9.94,40.19,8.24,4.76,5.74,1.99,13.14,2.01,,16.82,19.82,,20.51,,10.36,20.52,19.26,8.71,7.37,6.05,,1.52,6.88,15.55,25.57,,31.32,25.03,,6.62,20.42,14.9,,4.07,11.18,9.26,2.79,,7.38,,5.63,,20.6,11.05,9.0,35.77,29.16,,,1.67,6.17,5.05,13.0,9.77,8.62,,4.14,6.4,,24.49,39.9,16.7,3.47,4.34,7.54,13.51
2010-01-06,4.52,,9.22,16.19,8.48,10.22,,6.0,,29.3,,21.53,12.17,10.39,40.63,8.52,4.75,5.63,2.04,13.23,2.01,,19.67,19.85,,20.53,,10.25,20.26,19.02,8.67,7.48,6.12,,1.51,6.83,16.11,25.74,,31.63,25.32,,6.7,21.22,14.83,,4.02,11.08,9.41,2.86,,7.24,,5.52,,21.14,11.23,9.12,36.13,29.55,,,1.69,5.95,5.44,12.93,9.77,8.6,,4.14,6.44,,24.46,40.75,16.41,3.44,4.36,7.66,13.68
2010-01-07,4.54,,9.44,16.19,8.46,10.19,,6.14,,29.63,,21.4,11.87,10.26,41.09,8.44,4.86,5.58,2.05,13.07,1.99,,15.47,19.64,,20.14,,10.32,20.73,19.44,8.55,7.53,6.35,,1.49,6.81,16.16,25.16,,31.01,25.59,,6.7,21.47,14.72,,4.0,10.97,9.62,2.89,,7.23,,5.47,,22.18,10.83,9.08,35.91,29.28,,,1.68,5.87,5.21,12.84,9.61,8.48,,4.14,6.44,,24.69,40.92,16.41,3.45,4.44,7.54,13.21
2010-01-08,4.53,,9.22,16.29,8.48,10.18,,6.52,,30.06,,21.48,11.7,10.17,40.11,8.44,4.8,5.57,2.07,13.23,2.0,,15.61,20.08,,20.1,,10.24,21.08,19.66,8.54,7.63,6.42,,1.51,6.86,16.49,25.09,,31.06,26.82,,6.81,22.05,14.6,,3.97,10.8,9.63,2.9,,7.26,,5.5,,22.63,10.51,8.68,35.64,29.12,,,1.7,5.92,5.26,12.71,9.77,8.49,,4.13,6.5,,24.34,41.32,16.4,3.45,4.6,7.54,13.0
2010-01-11,4.47,,9.3,16.41,8.45,10.19,,6.4,,30.19,,21.42,12.84,9.99,39.75,8.52,4.73,5.57,2.01,13.54,2.03,,15.66,20.48,,20.3,,10.06,20.75,19.59,8.62,7.77,6.38,,1.51,6.86,16.63,25.11,,31.58,26.9,,6.89,21.7,14.37,,3.95,10.71,9.48,3.0,,7.28,,5.6,,21.93,10.65,8.51,35.68,29.03,,,1.75,5.86,5.29,12.85,9.85,8.33,,4.13,6.41,,24.41,41.19,16.19,3.67,4.54,7.54,12.74
2010-01-12,4.5,,9.21,16.28,8.49,10.22,,6.6,,30.2,,21.35,12.71,9.89,39.28,8.52,4.59,5.6,2.08,13.63,2.07,,15.33,20.1,,20.63,,10.05,20.56,19.29,8.91,8.02,6.49,,1.5,6.86,16.93,24.93,,31.08,26.39,,6.9,20.82,14.22,,3.95,10.61,9.23,3.02,,7.39,,5.73,,21.79,10.83,8.49,35.23,28.66,,,1.76,5.75,5.44,12.87,9.66,8.32,,4.13,6.42,,23.74,41.08,16.17,3.55,4.65,7.2,13.03
2010-01-13,4.56,,9.36,16.48,8.55,10.27,,6.6,,30.47,,21.54,12.54,9.87,39.66,8.4,4.53,5.61,2.14,13.56,2.04,,15.2,20.44,,20.32,,9.95,20.76,19.67,8.82,7.89,6.48,,1.48,6.82,16.97,25.05,,31.15,26.67,,7.05,20.54,14.06,,3.94,10.64,9.54,3.02,,7.47,,5.79,,21.98,10.67,8.4,34.91,28.61,,,1.8,5.75,5.47,12.95,9.77,8.22,,4.14,6.36,,23.79,41.58,16.15,3.55,4.51,7.08,12.86
2010-01-14,4.63,,9.36,16.25,8.43,10.05,,6.53,,30.31,,21.14,12.54,9.38,39.6,8.44,4.59,5.48,2.12,13.5,2.0,,18.74,20.62,,20.13,,9.91,20.43,19.23,8.74,7.96,6.33,,1.44,6.83,17.27,25.03,,30.82,25.73,,7.19,21.35,13.64,,3.89,10.5,10.25,2.92,,7.34,,5.66,,22.23,10.78,8.5,34.35,28.11,,,1.8,5.45,5.48,12.6,9.63,8.27,,,6.37,,23.93,41.58,16.4,3.55,4.48,6.92,12.82
2010-01-15,4.62,,9.31,15.97,8.24,9.91,,6.68,,29.95,,21.3,12.16,9.5,38.51,8.37,4.6,5.39,2.12,13.31,1.97,,15.45,20.18,,19.88,,9.74,19.71,18.46,8.82,8.0,6.38,,1.43,6.76,17.02,24.51,,30.08,25.15,,7.45,21.16,13.8,,3.79,10.32,9.79,2.89,,7.26,,5.46,,22.62,10.58,8.53,34.55,28.17,,,1.8,5.48,5.44,12.41,9.63,8.24,,4.14,6.34,,24.08,41.04,16.06,3.54,4.46,7.03,12.69
