,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,MRSA6B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0675,0.0,4306220000.0,0.0,0.0004
1,CSTB3,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40850000000000003,0.2898,2.6,0.22399999999999998,0.2011,0.0,8420670000.0,0.14,0.3191
2,PORP4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0208,0.0,22399000.0,0.0,0.1366
3,IVTT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,0.0,1083050000.0,0.0,0.20670000000000002
4,EQMA6B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20370000000000002,0.0,3230000000.0,0.0,0.0652
5,MRSA5B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0675,0.0,4306220000.0,0.0,0.0004
6,MNSA4,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0815,-3.6266000000000003,3.63,-0.135,1.4569999999999999,0.0,-9105000.0,-6.52,-0.4111
7,CLAN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0105,0.0,1012240000.0,0.0,-0.6396000000000001
8,VSPT4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0092,0.0,4759530000.0,0.0,0.4746
9,CLSC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.0,1692170000.0,0.0,0.0688
10,CSTB4,147.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40850000000000003,0.2898,2.6,0.22399999999999998,0.2011,0.0,8420670000.0,0.14,0.3191
11,MRSA6B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0675,0.0,4306220000.0,0.0,0.0004
12,POPR4,10.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0866,0.0565,1.08,0.1525,0.1993,0.0,545803000.0,0.82,0.3093
13,PMET3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040999999999999995,0.0,-290863000.0,0.0,0.3774
14,EQMA5B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20370000000000002,0.0,3230000000.0,0.0,0.0652
15,MRSA5B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0675,0.0,4306220000.0,0.0,0.0004
16,ODER3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25920000000000004,0.0,242636000.0,0.0,0.0796
17,MNSA3,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0815,-3.6266000000000003,3.63,-0.135,1.4569999999999999,0.0,-9105000.0,-6.52,-0.4111
18,VNET3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051699999999999996,0.0,9490850000.0,0.0,-0.1777
19,CFLU4,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0888,0.1072,1.1,0.17679999999999998,0.3215,0.0,60351000.0,0.06,0.0814
20,VSPT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0092,0.0,4759530000.0,0.0,0.4746
21,CTSA3,2.39,-16625.3,0.93,0.591,0.0127,0.418,13.34,10.68,-4.31,19.51,19.5,0.0553,-0.0,1.07,0.0441,-0.0001,25344.5,285461000.0,0.83,0.0642
22,CTSA4,1.91,-13286.3,0.74,0.47200000000000003,0.0175,0.33399999999999996,10.66,8.53,-3.45,17.37,17.36,0.0553,-0.0,1.07,0.0441,-0.0001,31200.0,285461000.0,0.83,0.0642
23,CTSA8,1.0,-6956.19,0.39,0.247,0.0,0.175,5.58,4.47,-1.8,13.3,13.29,0.0553,-0.0,1.07,0.0441,-0.0001,0.0,285461000.0,0.83,0.0642
24,BBTG12,3.15,-5910.8,66496.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.25,0.0,4000.0,0.0,0.0
25,OMGE3,42.81,-3772.83,2.25,8.068,0.0,0.9470000000000001,4.96,26.16,-2.81,35.09,19.98,0.3084,0.0045000000000000005,5.14,0.045700000000000005,-0.0006,35947000.0,3722190000.0,1.24,0.5899
26,LINX3,38.5,-1531.34,4.33,8.433,0.0029,2.7039999999999997,10.61,52.81,33.23,51.06,24.27,0.1597,-0.0055000000000000005,2.26,0.0725,-0.0028000000000000004,44718300.0,1684040000.0,0.31,0.1583
27,PLDN4,486.0,-553.07,1.08,0.919,0.0,0.611,1.07,-75.56,3.1,-33.12,-33.12,-0.012199999999999999,-0.0017000000000000001,10.81,-0.0127,-0.002,0.0,289939000.0,0.01,0.1026
28,DASA3,161.04,-406.08,19.87,13.152999999999999,0.0018,6.237,60.23,2758.87,-16.52,2881.15,118.16,0.0048,-0.032,1.5,0.0027,-0.0489,410675.0,3896020000.0,1.22,0.1775
29,LCSA4,35.09,-337.52,-228.0,79.738,0.0,125.30799999999999,-202.27,-505.8,-96.61,-506.56,-506.56,-0.1577,-0.23629999999999998,0.29,-0.2874,0.6755,0.0,-377568000.0,-0.35,63.540699999999994
30,STBP3,6.55,-319.4,2.71,6.282,0.0021,1.3359999999999999,5.76,347.24,-6.45,306.98,30.42,0.0181,-0.0197,4.39,0.0053,-0.0085,40757700.0,2084210000.0,0.21,0.030899999999999997
31,BHGR3,19.1,-272.16,1.1,3.613,0.0,0.855,-194.45,23.7,-8.56,25.95,14.2,0.1524,-0.0131,0.96,0.0393,-0.004,0.0,1077600000.0,0.2,0.20670000000000002
32,BTOW3,84.07,-268.52,4.94,5.1610000000000005,0.0,2.467,6.36,155.48,16.62,145.74,49.82,0.0332,-0.0192,2.49,0.0392,-0.0184,385731000.0,9535270000.0,0.53,-0.008
