Date,alpha,investing,yahoo,tview,bloomberg,reuters,economatica,google
2005-01-03,6.0554,3.78,4.263194561004639,1.75315,6.756,3.758569435,3.5043523315,
2005-01-04,5.9812,3.73,4.2108445167541495,1.7319939999999998,6.672999999999999,3.7124175439999996,3.4613220008999996,
2005-01-05,5.9218,3.7,4.169050216674806,1.715069,6.607,3.675569727,3.4269664476,
2005-01-06,5.8476,3.65,4.1168060302734375,1.693913,6.524,3.629509956,3.3840220059,
2005-01-07,5.8401,3.65,4.1115827560424805,1.6910919999999998,6.516,3.624903979,3.3797275617,
2005-01-10,5.8771,3.67,4.137602806091309,1.702375,6.557,3.647841745,3.4011138937,
2005-01-11,5.7986,3.62,4.0823259353637695,1.679809,6.4689999999999985,3.599110507,3.3556786744,
2005-01-12,5.714,3.57,4.0227694511413565,1.654421,6.375,3.546602369,3.3067220107999997,
2005-01-13,5.8773,3.67,4.137705326080321,1.702375,6.557,3.647933865,3.4011997826,
2005-01-14,5.9072,3.69,4.158709526062012,1.710838,6.59,3.6664498930000002,3.4184634481,
2005-01-17,5.8178,3.63,4.0959110260009775,1.68545,6.4910000000000005,3.611086048,3.3668442292000003,
2005-01-18,5.8178,3.63,4.0959110260009775,1.68545,6.4910000000000005,3.611086048,3.3668442292000003,
2005-01-19,5.9218,3.7,4.169050216674806,1.715069,6.607,3.675569727,3.4269664476,
2005-01-20,5.8178,3.63,4.0959110260009775,1.68545,6.4910000000000005,3.611086048,3.3668442292000003,
2005-01-21,5.7808,3.61,4.069787502288818,1.6741669999999995,6.449,3.588056162,3.3453720083999996,
2005-01-24,5.803,3.62,4.085462093353272,1.679809,6.449,3.601874094,3.3582553408999996,
2005-01-26,5.6991,3.56,4.012213706970215,1.65019,6.358,3.537298295,3.2980472336,
2005-01-27,5.61,3.5,3.9495222568511963,1.624802,6.259,3.48202657,3.2465139036000004,
2005-01-28,5.6249,3.51,3.960075855255127,1.629033,6.275,3.491330643,3.2551886808,
2005-01-31,5.7689,3.6,4.075010299682616,1.669936,6.436,3.580686599,3.3385008977,
2005-02-01,5.9117,3.69,4.160169124603272,1.737191,6.593,3.6677395660000003,3.4211621558,
2005-02-02,6.0728,3.79,4.273539543151856,1.784413,6.772,3.767689269,3.5143923691000003,
2005-02-03,6.2807,3.92,4.419821262359619,1.844513,7.004,3.896656628,3.6346894184,
2005-02-04,6.5034,4.06,4.57655143737793,1.910337,7.004,4.034835941,3.7635791141,
2005-02-09,6.444,4.02,4.534758567810059,1.893166,7.186,3.997988125,3.7292085285,
2005-02-10,6.4292,4.01,4.524308204650879,1.888873,7.17,3.98877617,3.7206158822,
2005-02-11,6.4277,4.01,4.523264408111572,1.888873,7.167999999999998,3.987854975,3.7197566175,
2005-02-14,6.6517,4.15,4.6809353828430185,1.954697,7.417999999999998,4.126863364,3.8494196514,
2005-02-15,6.726,4.2,4.733183860778809,1.976162,7.501,4.172923135,3.8923828833,
2005-02-16,6.5926,4.11,4.639353752136231,1.937526,7.352,4.090199786,3.8152209188,
2005-02-17,6.6370000000000005,4.14,4.670591354370117,1.950404,7.401,4.117743529,3.8409129314999997,
2005-02-18,6.4234,4.01,4.520230770111084,1.887442,7.1629999999999985,3.985183508,3.7172647501,
2005-02-21,6.3995,3.99,4.503412246704102,1.880287,7.136,3.970352262,3.7034305894,
2005-02-22,6.5554,4.09,4.6131253242492685,1.926078,7.31,4.067077781,3.7936533764,
2005-02-23,6.5628,4.1,4.618348598480225,1.927509,7.319,4.071683758,3.7979496995999997,
2005-02-24,6.8895,4.3,4.848219871520996,2.023384,7.683,4.274346751,3.9869879199000002,
2005-02-25,6.8004,4.24,4.785529613494873,1.997626,7.584,4.219075025,3.9354320416000004,
2005-02-28,6.6816,4.17,4.701934814453125,1.963283,7.451,4.145379392,3.8666908706,
2005-03-01,6.7263,4.2,4.733388900756836,2.000956,7.501,4.173107374,3.8940258126,
2005-03-02,6.8006,4.24,4.78563117980957,2.024138,7.584,4.219167145,3.9370052812000003,
2005-03-03,7.0528,4.4,4.96315336227417,2.098033,7.865,4.375678247,4.0830495154,
