Date,alpha,investing,yahoo,tview,bloomberg,reuters,economatica,google
2005-01-03,9.6128,13.43,9.971318244934082,5.281681,18.713,10.57055203,8.8049497806,5.48
2005-01-04,9.2211,12.89,9.565006256103516,5.0664620000000005,17.95,10.13982146,8.446164251799999,5.28
2005-01-05,9.1569,12.8,9.498398780822754,5.031181,17.825,10.06920989,8.387346952,
2005-01-06,9.1183,12.74,9.458433151245117,5.010011,17.75,10.02684294,8.3520565722,4.49
2005-01-07,9.3623,13.08,9.711545944213867,5.144082,18.225,10.29516691,8.5755623114,4.41
2005-01-10,9.2853,12.98,9.631612777709961,5.101743,18.075,10.21043303,8.5049815516,
2005-01-11,9.2339,12.9,9.578328132629396,5.073518,17.975,10.15394377,8.4579277118,5.99
2005-01-12,9.18,12.83,9.52237606048584,5.043881,17.87,10.09463005,8.40852118,6.17
2005-01-13,9.6308,13.46,9.989969253540039,5.291558,18.748,10.59032327,8.8214186246,4.69
2005-01-14,10.0815,14.09,10.457561492919922,5.539237,19.625,11.08601649,9.2343160692,4.91
2005-01-17,9.9531,13.91,10.32434368133545,5.468673,19.375,10.94479335,9.1166814696,4.84
2005-01-18,10.043,14.04,10.417595863342283,5.5180690000000014,19.55,11.04364955,9.199025689299999,4.89
2005-01-19,9.9788,13.95,10.350987434387207,5.482787,19.425,10.97303798,9.1402083895,4.86
2005-01-20,9.8761,13.8,10.244415283203123,5.426336,19.225,10.86005947,9.046100709800001,4.81
2005-01-21,10.287,14.38,10.670711517333984,5.652139,20.025,11.31197352,9.4225314286,5.01
2005-01-24,10.4989,14.67,10.89051628112793,5.76857,20.025,11.544991699999999,9.616628517899999,5.11
2005-01-26,10.4668,14.63,10.85721492767334,5.750928,20.375,11.50968591,9.587219868,5.09
2005-01-27,10.3654,14.49,10.790606498718262,5.695183,20.178,11.39811963,9.494288534299999,5.06
2005-01-28,10.1843,14.23,10.56413459777832,5.59569,19.825,11.19899501,9.3284237489,4.96
2005-01-31,10.1766,14.22,10.55081272125244,5.591454,19.81,11.19052162,9.321365672899999,4.95
2005-02-01,10.2228,14.29,10.60409927368164,5.616857,19.9,11.24136195,9.3637141288,
2005-02-02,10.1201,14.14,10.497528076171877,5.560407,19.7,11.12838344,9.2696064491,4.93
2005-02-03,9.9916,13.96,10.364309310913086,5.4898430000000005,19.45,10.987160300000001,9.1519718495,5.61
2005-02-04,9.9775,13.94,10.349658012390137,5.482081,19.45,10.97162575,9.1390320435,
2005-02-09,9.8247,13.73,10.191126823425293,5.39811,19.125,10.80357021,8.99904687,5.23
2005-02-10,9.7746,13.66,10.139171600341797,5.370589,19.028,10.74849319,8.9531693761,
2005-02-11,9.7348,13.6,10.097874641418457,5.348715,18.95,10.70471402,8.9167026503,
2005-02-14,9.8902,13.82,10.259069442749023,5.434097,19.253,10.87559402,9.0590405158,4.81
2005-02-15,10.0815,14.09,10.457561492919922,5.539237,19.625,11.08601649,9.2343160692,4.91
2005-02-16,10.0173,14.0,10.39095401763916,5.503955,19.5,11.01540492,9.1754987694,4.88
2005-02-17,10.2485,14.32,10.630743026733398,5.630971,19.95,11.26960658,9.3872410487,4.99
2005-02-18,10.4411,14.59,10.83056926727295,5.736814,20.325,11.48144129,9.5636929481,5.08
2005-02-21,10.7237,14.99,11.123648643493652,5.892056,20.875,11.79213219,9.822489067200001,5.22
2005-02-22,11.1218,15.54,11.53662109375,6.110801,21.65,12.22992393,10.187156326,5.41
2005-02-23,11.5726,16.17,12.004215240478516,6.358479,22.528,12.72561715,10.60005377,5.63
2005-02-24,12.2969,17.18,12.75556182861328,6.756458,23.938,13.52211566,11.263512912000001,5.98
2005-02-25,11.8795,16.6,12.322603225708008,6.527129,23.125,13.06314045,10.881200462999999,5.78
2005-02-28,11.6227,16.24,12.056169509887695,6.386001,22.625,12.78069417,10.645931264,5.66
2005-03-01,11.2502,15.72,11.669841766357422,6.181365,21.9,12.37114707,10.304790925,4.68
2005-03-02,11.5199,16.1,11.949597358703613,6.329549,22.425,12.66771566,10.551823584,4.86
2005-03-03,11.8795,16.6,12.322603225708008,6.527129,23.125,13.06314045,10.881200462999999,5.78
2005-03-04,12.2648,17.14,12.722256660461426,6.738817999999998,23.875,13.48680987,11.234104262,
2005-03-07,12.1839,17.03,12.638327598571776,6.694363,23.718000000000004,13.397839300000001,11.159994464,
2005-03-08,11.9694,16.73,12.41585636138916,6.576522,23.3,13.16199665,10.963544683,5.0
2005-03-09,11.8782,16.6,12.321271896362305,6.526423,23.123,13.06172822,10.880024117,
2005-03-10,11.6098,16.22,12.042848587036133,6.378943,22.6,12.76657186,10.634167804,6.12
2005-03-11,11.597,16.21,12.029528617858887,6.371889,22.575,12.75244955,10.622404344,6.06
2005-03-14,11.43,15.97,11.856344223022461,6.2801540000000005,22.25,12.56885946,10.469479365,5.56
2005-03-15,11.3401,15.85,11.763091087341307,6.230761,22.075,12.47000327,10.387135145,5.52
2005-03-16,11.2374,15.7,11.65651798248291,6.174308,21.875,12.35702475,10.293027465,5.47
2005-03-17,11.7768,16.46,12.216032028198242,6.470676,22.925,12.95016194,10.787092784,5.73
2005-03-18,11.5751,16.18,12.006877899169922,6.359891,22.533,12.72844161,10.602406462000001,5.63
2005-03-21,11.4429,15.99,11.869665145874025,6.287211,22.275,12.58298178,10.481242825,5.57
2005-03-22,11.3915,15.92,11.816377639770508,6.258985,22.175,12.52649252,10.434188985,5.54
2005-03-23,10.7108,14.97,11.110326766967773,5.884999,20.85,11.77800988,9.8107256073,5.21
2005-03-24,11.0833,15.49,11.496657371520994,6.089633,20.85,12.18755699,10.151865946000001,5.39
